district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
09,00.09.10,877,350,527,1481,615,866
09,00.09.11,872,381,491,1510,685,825
09,00.09.12,872,360,512,1416,591,825
09,00.09.13,932,382,550,1485,611,874
09,00.09.14,996,432,564,1467,634,833
09,00.09.15,947,426,521,1447,636,811
09,00.09.16,931,381,550,1432,584,848
09,00.09.17,781,319,462,1132,478,654
09,00.09.18,873,417,456,1408,657,751
09,00.09.19,769,307,462,1315,553,762
09,00.09.20,870,373,497,1302,569,733
09,00.09.21,783,339,444,1347,594,753
09,00.09.22,1377,608,769,2276,1015,1261
09,00.09.23,724,306,418,1220,524,696
09,00.09.24,863,366,497,1409,630,779
09,00.09.25,753,323,430,1395,611,784
09,00.09.26,863,373,490,1364,600,764
09,00.09.27,769,316,453,1288,538,750
09,00.09.28,775,333,442,1220,517,703
09,00.09.29,1465,669,796,2943,1321,1622
09,00.09.30,815,358,457,1455,658,797
09,00.09.31,684,281,403,1110,473,637
09,00.09.32,836,354,482,1428,611,817
09,00.09.33,875,390,485,1489,635,854
09,00.09.34,821,369,452,1429,649,780
09,00.09.35,840,377,463,1520,676,844
09,00.09.36,938,427,511,1635,750,885
09,00.09.37,831,348,483,1366,567,799
09,00.09.38,2014,827,1187,3241,1326,1915
09,00.09.39,1508,647,861,2618,1141,1477
09,00.09.40,750,320,430,1274,554,720
09,00.09.41,545,248,297,1047,474,573
09,00.09.42,843,356,487,1294,572,722
09,00.09.43,850,365,485,1274,523,751
09,00.09.44,872,388,484,1391,596,795
09,00.09.45,978,419,559,1474,636,838
09,00.09.46,987,435,552,1480,637,843
09,00.09.47,881,370,511,1471,651,820
09,00.09.48,862,402,460,1486,658,828
09,00.09.49,779,347,432,1270,566,704
09,00.09.50,787,331,456,1248,541,707
09,00.09.51,878,374,504,1430,607,823
09,00.09.52,1561,614,947,2434,976,1458
09,00.09.53,614,279,335,1125,513,612
09,00.09.54,867,369,498,1296,580,716
09,00.09.55,859,371,488,1446,625,821
09,00.09.56,1421,585,836,2520,1043,1477
09,00.09.57,868,383,485,1500,670,830
09,00.09.58,928,391,537,1502,665,837
09,00.09.59,1659,746,913,2733,1235,1498
09,00.09.60,819,384,435,1412,671,741
09,00.09.61,1010,417,593,1543,658,885
09,00.09.62,759,322,437,1288,543,745
09,00.09.63,863,358,505,1440,614,826
09,00.09.64,736,315,421,1418,627,791
09,00.09.65,978,429,549,1467,639,828
09,00.09.66,792,325,467,1371,581,790
09,00.09.67,861,371,490,1394,596,798
09,00.09.68,863,356,507,1535,645,890
09,00.09.69,956,424,532,1558,693,865
09,00.09.70,828,358,470,1384,588,796
09,00.09.71,887,386,501,1448,612,836
09,00.09.72,1399,572,827,2556,1114,1442
09,00.09.73,938,387,551,1620,672,948
09,00.09.74,835,359,476,1349,576,773
09,00.09.75,767,324,443,1324,539,785
09,00.09.76,1038,477,561,1768,802,966
09,00.09.77,1521,624,897,2524,1064,1460
09,00.09.78,1430,601,829,2374,1024,1350
09,00.09.79,1501,608,893,2654,1122,1532
09,00.09.80,1512,642,870,2538,1061,1477
09,00.09.81,1525,719,806,2614,1181,1433
10,00.10.01,974,414,560,1648,707,941
10,00.10.02,911,421,490,1609,734,875
10,00.10.03,843,364,479,1553,676,877
10,00.10.04,1220,560,660,2255,1046,1209
10,00.10.05,883,418,465,1542,719,823
10,00.10.06,1703,772,931,3006,1344,1662
10,00.10.07,1484,650,834,2705,1191,1514
10,00.10.08,1562,747,815,2876,1312,1564
10,00.10.09,1758,785,973,3104,1359,1745
10,00.10.10,917,376,541,1452,618,834
10,00.10.11,826,367,459,1297,581,716
10,00.10.12,737,330,407,1320,568,752
10,00.10.13,775,355,420,1291,567,724
10,00.10.14,412,183,229,731,333,398
10,00.10.15,1267,563,704,2151,937,1214
10,00.10.16,1651,748,903,3053,1384,1669
10,00.10.17,1430,594,836,2429,1059,1370
10,00.10.18,1213,593,620,2296,1123,1173
10,00.10.19,1692,692,1000,2998,1218,1780
10,00.10.20,955,398,557,1662,690,972
10,00.10.21,1787,759,1028,3234,1401,1833
10,00.10.22,918,390,528,1511,645,866
10,00.10.23,1612,702,910,2853,1252,1601
10,00.10.24,732,328,404,1318,590,728
10,00.10.25,778,318,460,1433,591,842
10,00.10.26,755,323,432,1250,528,722
10,00.10.27,1389,596,793,2596,1119,1477
10,00.10.28,1499,624,875,2554,1096,1458
10,00.10.29,870,418,452,1500,680,820
10,00.10.30,1636,736,900,3257,1466,1791
10,00.10.31,1349,582,767,2396,1061,1335
10,00.10.32,606,230,376,1120,448,672
10,00.10.33,1612,651,961,2916,1228,1688
10,00.10.34,1427,585,842,2532,1081,1451
10,00.10.35,878,363,515,1494,642,852
10,00.10.36,838,353,485,1408,613,795
10,00.10.37,1270,529,741,2153,890,1263
10,00.10.38,971,453,518,1645,773,872
10,00.10.39,1053,462,591,2057,922,1135
10,00.10.40,803,322,481,1675,844,831
10,00.10.41,799,351,448,1504,659,845
10,00.10.42,871,389,482,1541,688,853
10,00.10.43,787,483,304,1343,559,784
10,00.10.44,1485,631,854,2599,1106,1493
10,00.10.45,1526,622,904,2685,1148,1537
10,00.10.46,897,386,511,1478,657,821
10,00.10.47,1102,491,611,1805,805,1000
